Site ID,Site Name,Site Type,Year,Total Enrollment,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# White,% White,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# Female,% Female,# Male,% Male
01M015,P.S. 015 Roberto Clemente,PS,2015-16,14,0,0,7,50,7,50,0,0,0,0,4,28.6,10,71.4
01M015,P.S. 15 Roberto Clemente,PS,2016-17,17,3,17.6,2,11.8,12,70.6,0,0,0,0,10,58.8,7,41.2
01M015,P.S. 15 Roberto Clemente,PS,2017-18,17,3,17.6,8,47.1,6,35.3,0,0,0,0,9,52.9,8,47.1
01M019,P.S. 019 Asher Levy,PS,2015-16,21,1,4.8,7,33.3,13,61.9,0,0,0,0,10,47.6,11,52.4
01M019,P.S. 19 Asher Levy,PS,2016-17,24,5,20.8,2,8.3,15,62.5,2,8.3,0,0,19,79.2,5,20.8
01M019,P.S. 19 Asher Levy,PS,2017-18,13,0,0,1,7.7,12,92.3,0,0,0,0,8,61.5,5,38.5
01M020,P.S. 020 Anna Silver,PS,2015-16,46,12,26.1,1,2.2,25,54.3,1,2.2,7,15.2,25,54.3,21,45.7
01M020,P.S. 20 Anna Silver,PS,2016-17,41,12,29.3,3,7.3,18,43.9,5,12.2,3,7.3,24,58.5,17,41.5
01M020,P.S. 20 Anna Silver,PS,2017-18,34,4,11.8,5,14.7,21,61.8,4,11.8,0,0,19,55.9,15,44.1
01M034,P.S. 034 Franklin D. Roosevelt,PS,2015-16,18,2,11.1,8,44.4,7,38.9,1,5.6,0,0,12,66.7,6,33.3
01M034,P.S. 34 Franklin D. Roosevelt,PS,2016-17,13,1,7.7,2,15.4,9,69.2,1,7.7,0,0,7,53.8,6,46.2
01M034,P.S. 34 Franklin D. Roosevelt,PS,2017-18,13,0,0,5,38.5,7,53.8,0,0,1,7.7,8,61.5,5,38.5
01M063,The STAR Academy - P.S.63,PS,2015-16,15,0,0,4,26.7,10,66.7,1,6.7,0,0,9,60,6,40
01M063,The STAR Academy - P.S. 63,PS,2016-17,22,1,4.5,2,9.1,14,63.6,3,13.6,2,9.1,15,68.2,7,31.8
01M063,The STAR Academy - P.S. 63,PS,2017-18,26,1,3.8,6,23.1,13,50,5,19.2,1,3.8,12,46.2,14,53.8
01M064,P.S. 064 Robert Simon,PS,2015-16,20,3,15,4,20,12,60,1,5,0,0,11,55,9,45
01M064,P.S. 64 Robert Simon,PS,2016-17,21,0,0,4,19,15,71.4,1,4.8,1,4.8,11,52.4,10,47.6
01M064,P.S. 64 Robert Simon,PS,2017-18,35,1,2.9,7,20,27,77.1,0,0,0,0,20,57.1,15,42.9
01M110,P.S. 110 Florence Nightingale,PS,2015-16,29,5,17.2,5,17.2,7,24.1,12,41.4,0,0,11,37.9,18,62.1
01M110,P.S. 110 Florence Nightingale,PS,2016-17,32,8,25,2,6.3,17,53.1,5,15.6,0,0,16,50,16,50
01M110,P.S. 110 Florence Nightingale,PS,2017-18,30,3,10,2,6.7,15,50,10,33.3,0,0,12,40,18,60
01M134,P.S. 134 Henrietta Szold,PS,2015-16,15,4,26.7,3,20,7,46.7,0,0,1,6.7,9,60,6,40
01M134,P.S. 134 Henrietta Szold,PS,2016-17,22,2,9.1,3,13.6,15,68.2,0,0,2,9.1,13,59.1,9,40.9
01M134,P.S. 134 Henrietta Szold,PS,2017-18,20,1,5,3,15,15,75,0,0,1,5,9,45,11,55
01M137,P.S. 137 John L. Bernstein,PS,2015-16,10,1,10,4,40,4,40,1,10,0,0,8,80,2,20
01M140,P.S. 140 Nathan Straus,PS,2015-16,13,1,7.7,1,7.7,11,84.6,0,0,0,0,7,53.8,6,46.2
01M140,P.S. 140 Nathan Straus,PS,2016-17,18,2,11.1,1,5.6,15,83.3,0,0,0,0,10,55.6,8,44.4
01M140,P.S. 140 Nathan Straus,PS,2017-18,18,2,11.1,3,16.7,13,72.2,0,0,0,0,11,61.1,7,38.9
01M142,P.S. 142 Amalia Castro,PS,2015-16,22,1,4.5,3,13.6,18,81.8,0,0,0,0,11,50,11,50
01M142,P.S. 142 Amalia Castro,PS,2016-17,34,1,2.9,4,11.8,26,76.5,2,5.9,1,2.9,16,47.1,18,52.9
01M142,P.S. 142 Amalia Castro,PS,2017-18,32,1,3.1,5,15.6,25,78.1,0,0,1,3.1,16,50,16,50
01M184,P.S. 184m Shuang Wen,PS,2015-16,36,22,61.1,0,0,10,27.8,0,0,4,11.1,22,61.1,14,38.9
01M184,P.S. 184 Shuang Wen,PS,2016-17,36,25,69.4,2,5.6,2,5.6,3,8.3,4,11.1,14,38.9,22,61.1
01M184,P.S. 184 Shuang Wen,PS,2017-18,35,22,62.9,0,0,9,25.7,2,5.7,2,5.7,16,45.7,19,54.3
01M188,P.S. 188 The Island School,PS,2015-16,31,2,6.5,7,22.6,17,54.8,5,16.1,0,0,13,41.9,18,58.1
01M188,P.S. 188 The Island School,PS,2016-17,29,2,6.9,8,27.6,18,62.1,0,0,1,3.4,17,58.6,12,41.4
01M188,P.S. 188 The Island School,PS,2017-18,19,1,5.3,7,36.8,10,52.6,1,5.3,0,0,9,47.4,10,52.6
01M315,The East Village Community School,PS,2015-16,36,3,8.3,1,2.8,4,11.1,24,66.7,4,11.1,19,52.8,17,47.2
01M315,The East Village Community School,PS,2016-17,36,0,0,3,8.3,5,13.9,25,69.4,3,8.3,17,47.2,19,52.8
01M315,The East Village Community School,PS,2017-18,36,2,5.6,2,5.6,8,22.2,19,52.8,5,13.9,19,52.8,17,47.2
01M361,The Children's Workshop School,PS,2015-16,33,3,9.1,1,3,13,39.4,14,42.4,2,6.1,15,45.5,18,54.5
01M361,The Children's Workshop School,PS,2016-17,35,3,8.6,1,2.9,15,42.9,10,28.6,6,17.1,18,51.4,17,48.6
01M361,The Children's Workshop School,PS,2017-18,36,4,11.1,2,5.6,16,44.4,12,33.3,2,5.6,22,61.1,14,38.9
01M363,Neighborhood School,PS,2015-16,16,0,0,1,6.3,5,31.3,10,62.5,0,0,9,56.3,7,43.8
01M363,Neighborhood School,PS,2016-17,18,1,5.6,0,0,6,33.3,11,61.1,0,0,9,50,9,50
01M363,Neighborhood School,PS,2017-18,18,2,11.1,0,0,6,33.3,10,55.6,0,0,11,61.1,7,38.9
01M364,Earth School,PS,2015-16,36,2,5.6,1,2.8,10,27.8,16,44.4,7,19.4,17,47.2,19,52.8
01M364,Earth School,PS,2016-17,36,2,5.6,1,2.8,10,27.8,20,55.6,3,8.3,18,50,18,50
01M364,Earth School,PS,2017-18,35,4,11.4,1,2.9,13,37.1,13,37.1,4,11.4,19,54.3,16,45.7
02M001,P.S. 001 Alfred E. Smith,PS,2015-16,28,11,39.3,4,14.3,10,35.7,2,7.1,1,3.6,19,67.9,9,32.1
02M001,P.S. 1 Alfred E. Smith,PS,2016-17,34,18,52.9,3,8.8,8,23.5,4,11.8,1,2.9,20,58.8,14,41.2
02M001,P.S. 1 Alfred E. Smith,PS,2017-18,24,10,41.7,7,29.2,7,29.2,0,0,0,0,13,54.2,11,45.8
02M002,P.S. 002 Meyer London,PS,2015-16,21,15,71.4,1,4.8,5,23.8,0,0,0,0,10,47.6,11,52.4
02M002,P.S. 2 Meyer London,PS,2016-17,36,26,72.2,2,5.6,7,19.4,1,2.8,0,0,19,52.8,17,47.2
02M002,P.S. 2 Meyer London,PS,2017-18,22,14,63.6,2,9.1,5,22.7,1,4.5,0,0,12,54.5,10,45.5
02M003,P.S. 003 Charrette School,PS,2015-16,53,2,3.8,0,0,7,13.2,44,83,0,0,25,47.2,28,52.8
02M003,P.S. 3 Charrette School,PS,2016-17,50,0,0,0,0,3,6,47,94,0,0,21,42,29,58
02M003,P.S. 3 Charrette School,PS,2017-18,54,7,13,0,0,7,13,39,72.2,1,1.9,19,35.2,35,64.8
02M006,P.S. 6 Lillie D. Blake,PS,2016-17,40,5,12.5,1,2.5,4,10,29,72.5,1,2.5,26,65,14,35
02M006,P.S. 6 Lillie D. Blake,PS,2017-18,78,17,21.8,4,5.1,4,5.1,53,67.9,0,0,38,48.7,40,51.3
