Site ID,Program Code,Program Name,Address 1,Address 2,Program Type,Enrollment,Daily Start Time,Length of Pre-K Day,Early Drop-Off Available,Late Pick-Up Available,Meals,Playspace,Dual Language,Collaborative Teachers - Survey Percent Positive,Supportive Environment - Survey Percent Positive,Effective School Leadership - Survey Percent Positive,Strong Family-Community Ties - Survey Percent Positive,Trust - Survey Percent Positive,Survey - Number of Guardian Responses,Survey - Guardian Response Rate,CLASS Most Recent Assessment Year,CLASS Emotional Support Score,CLASS Emotional Support Rating,CLASS Classroom Organization Score,CLASS Classroom Organization Rating,CLASS Instructional Support Score,CLASS Instructional Support Rating,ECERS Most Recent Assessment Year,ECERS Observation Average Score,ECERS Observation Average Rating,ECERS Language Reasoning Score,ECERS Language Reasoning Rating,ECERS Interaction Score,ECERS Interaction Rating,ECERS Activities Score,ECERS Activities Rating,ECERS Personal Care Routines Score,ECERS Personal Care Routines Rating,ECERS Space and Furnishings Score,ECERS Space and Furnishings Rating,ECERS Program Structure Score,ECERS Program Structure Rating,Quality Review - Date of Review,Quality Review - How well do teachers work with each other?
01M015,01M015,P.S. 15 Roberto Clemente,333 East 4th Street,"New York, NY 10009",District School,17,1899-12-31T08:40:00.000,Full day,false,false,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,97%,96%,94%,92%,91%,8,57%,2016-17 School Year,6.7,4,6.5,4,3.1,2,2015-16 School Year,3.3,2,4.3,3,3.2,2,3.1,2,2.7,3,3.5,3,3.3,2,"March 01, 2017",3
01M019,01M019,P.S. 19 Asher Levy,185 First Avenue,"New York, NY 10003",District School,24,1899-12-31T08:00:00.000,Full day,false,false,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,91%,96%,88%,92%,91%,17,77%,2016-17 School Year,6.6,4,6.5,4,1.9,1,2015-16 School Year,3.9,3,5,4,6.6,4,3.9,3,2.7,3,3.1,2,2.3,1,"October 01, 2016",4
01M020,01M020,P.S. 20 Anna Silver,166 Essex Street,"New York, NY 10002",District School,41,1899-12-31T08:20:00.000,Full day,false,true,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,Dual Language (Spanish/Chinese),77%,98%,94%,95%,97%,15,38%,2016-17 School Year,6.5,4,6.1,4,2.1,2,2015-16 School Year,3.9,3,5.3,4,5.2,4,3.6,3,2.5,3,3.3,2,4.8,3,"April 01, 2017",2
01M034,01M034,P.S. 34 Franklin D. Roosevelt,730 East 12th Street,"New York, NY 10009",District School,13,N/A,Full day,false,false,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,71%,,,,,3,25%,N/A,,,,,,,2016-17 School Year,3.9,3,5,4,5.4,4,3.8,3,2.5,3,3.6,3,4,3,"May 06, 2016",2
01M063,01M063,The STAR Academy - P.S. 63,121 East 3rd Street,"New York, NY 10009",District School,22,1899-12-31T08:15:00.000,Full day,true,true,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,88%,100%,100%,94%,100%,13,59%,N/A,,,,,,,2016-17 School Year,3.3,2,3.5,3,6,4,2.7,1,2.5,3,2.8,1,3.3,2,"October 27, 2015",4
01M064,01M064,P.S. 64 Robert Simon,600 East 6th Street,"New York, NY 10009",District School,21,1899-12-31T08:20:00.000,Full day,false,true,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,94%,,,,,3,15%,2016-17 School Year,6.6,4,6.4,4,3.2,2,2014-15 School Year,3,2,3.3,2,2,1,2.9,1,3.3,3,3.3,2,3,2,"February 24, 2015",4
01M110,01M110,P.S. 110 Florence Nightingale,285 Delancy Street,"New York, NY 10002",District School,32,1899-12-31T08:20:00.000,Full day,false,true,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,85%,93%,86%,87%,89%,14,48%,2014-15 School Year,6.1,4,6.1,4,4.2,3,2015-16 School Year,2.9,1,4.3,3,2.6,1,2.8,1,2.5,3,2.8,1,3,2,"October 01, 2016",3
01M134,01M134,P.S. 134 Henrietta Szold,293 East Broadway,"New York, NY 10002",District School,22,1899-12-31T08:15:00.000,Full day,false,false,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,86%,87%,84%,95%,88%,13,59%,2016-17 School Year,6.7,4,6.5,4,2.3,2,2014-15 School Year,2.9,1,3,2,5.4,4,2.1,1,2.7,3,2.5,1,2.3,1,"November 10, 2015",3
01M140,01M140,P.S. 140 Nathan Straus,123 Ridge Street,"New York, NY 10002",District School,18,1899-12-31T08:00:00.000,Full day,false,true,Breakfast/Lunch/Snack(s),Outdoor (onsite) playspace,,79%,100%,98%,89%,100%,10,63%,N/A,,,,,,,2016-17 School Year,2.5,1,3.8,3,2.6,1,3.1,2,1.5,2,2.4,1,1.8,1,"January 14, 2016",3
01M142,01M142,P.S. 142 Amalia Castro,100 Attorney Street,"New York, NY 10002",District School,34,1899-12-31T08:20:00.000,Full day,true,true,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,92%,99%,85%,94%,92%,23,72%,2016-17 School Year,6.0,4,5.7,3,2.1,2,2015-16 School Year,3.8,3,5.8,4,6.8,4,2.3,1,2.8,3,3.3,2,4.3,3,"March 12, 2015",3
