SiteID,Program Code,Name,Site_Address 1,City_State_Zip,Program Type,Enrollment,Daily Start Time,Length of Pre-K Day,Early Drop-off Available,LATE Pick-Up Available,Meals,Playspace,DualLanguage,Collaborative Teachers - Survey Percent Positive,Site_Supportive_Environment -Survey Percent Positive,Site_Effective_Leadership - Survey Percent Positive,Site Strong Family Ties - Survey Percent Positive,Site Trust - Survey Percent Positive,Survey - # of Guardian Responses,Survey -Guardian Response Rate,CLASS Most Recent AssessmentYear,CLASS_Emotional Support Score,CLASS_Emotional Support Rating,CLASS_Classroom Organization Score,CLASS Classrooom Organization Rating,CLASS Instructional Support Score,CLASS Instructional Support Rating,ECERS Most Recent AssessmentYear,ECERS Oberservation Average Score,ECERS Observation Average Score,ECERS Language Reasoning Score,ECERS Language Reasoning Rating,ECERS Interaction Score,ECERS Interaction Rating,ECERS Activities Score,ECERS Activities Rating,ECERS Personal Care Routines Score,ECERS Personal Care Routines Rating,ECERS Space/Furnishings Score,ECERS Space/Furnishings Rating,ECERS Program Structure Score,Ecers Program Structure Rating,Quality Review - Dates_of_Review,Quality Review - How well do teachers work with each other
01M015,01M015,P.S. 015 Roberto Clemente,333 East 4 Street,"New York, NY 10009",District School,17,12/31/1899 08:40:00 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,92,1,1,0.96,1,10,71,2017-18 School Year,4.9,2,3.6,2,1.5,1,2015-16 School Year,3.3,2,4.3,3,3.2,2,3.1,2,2.7,3,3.5,3,3.3,2,03/01/2017 12:00:00 AM,3
01M019,01M019,P.S. 019 Asher Levy,185 First Avenue,"New York, NY 10003",District School,13,12/31/1899 08:00:00 AM,Full day,No,No,Breakfast / Lunch,Indoor/Outdoor (onsite) playspace,,87,1,0.96,0.94,0.93,7,100,2017-18 School Year,6.5,4,6.4,4,3.1,2,2015-16 School Year,3.9,3,5,4,6.6,4,3.9,3,2.7,3,3.1,2,2.3,1,10/01/2016 12:00:00 AM,4
01M020,01M020,P.S. 020 Anna Silver,166 ESSEX STREET,"New York, NY 10002",District School,34,12/31/1899 07:45:00 AM,Full day,No,No,Breakfast / Lunch / Snack(s),Indoor/Outdoor (onsite) playspace,Dual Language (Spanish/Chinese),80,1,0.9,0.95,0.91,11,65,2016-17 School Year,6.5,4,6.1,4,2.1,2,2015-16 School Year,3.9,3,5.3,4,5.2,4,3.6,3,2.5,3,3.3,2,4.8,3,04/01/2017 12:00:00 AM,2
01M063,01M063,The STAR Academy - P.S.63,121 East 3 Street,"New York, NY 10009",District School,26,12/31/1899 08:15:00 AM,Full day,Yes,Yes,Breakfast / Lunch,Indoor/Outdoor (onsite) playspace,,92,1,0.98,0.94,0.97,16,84,2017-18 School Year,6.6,4,6.1,4,2.7,2,2016-17 School Year,3.3,2,3.5,3,6,4,2.7,1,2.5,3,2.8,1,3.3,2,10/27/2015 12:00:00 AM,4
01M064,01M064,P.S. 064 Robert Simon,600 East 6 Street,"New York, NY 10009",District School,35,12/31/1899 08:20:00 AM,Full day,Contact Program,Yes,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,91,1,1,0.95,1,9,36,2016-17 School Year,6.6,4,6.4,4,3.2,2,2017-18 School Year,4.5,3,6.8,4,5.6,4,5.1,4,2.5,3,3.4,3,4.5,3,01/01/2018 12:00:00 AM,4
01M110,01M110,P.S. 110 Florence Nightingale,285 DELANCY STREET,"New York, NY 10002",District School,30,12/31/1899 08:20:00 AM,Full day,Contact Program,Yes,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,91,1,0.95,0.92,0.9,12,75,2017-18 School Year,6.8,4,6.6,4,2,2,2015-16 School Year,2.9,1,4.3,3,2.6,1,2.8,1,2.5,3,2.8,1,3,2,10/01/2016 12:00:00 AM,3
01M134,01M134,P.S. 134 Henrietta Szold,293 EAST BROADWAY,"New York, NY 10002",District School,20,12/31/1899 08:15:00 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,86,,,,,4,50,2016-17 School Year,6.7,4,6.5,4,2.3,2,2017-18 School Year,3.1,2,3.5,3,5.4,4,2.3,1,3.3,3,3,2,1.3,1,11/10/2015 12:00:00 AM,3
01M140,01M140,P.S. 140 Nathan Straus,123 RIDGE STREET,"New York, NY 10002",District School,18,12/31/1899 08:00:00 AM,Full day,No,No,Breakfast / Lunch,Outdoor (onsite) playspace,,80,1,0.85,0.97,0.94,5,100,2017-18 School Year,6.7,4,6.2,4,2.6,2,2016-17 School Year,2.5,1,3.8,3,2.6,1,3.1,2,1.5,2,2.4,1,1.8,1,01/01/2018 12:00:00 AM,3
01M142,01M142,P.S. 142 Amalia Castro,100 ATTORNEY STREET,"New York, NY 10002",District School,32,12/31/1899 08:20:00 AM,Full day,Yes,Yes,Breakfast / Lunch,Indoor/Outdoor (onsite) playspace,,85,0.95,0.95,0.92,0.93,20,80,2016-17 School Year,6,4,5.7,3,2.1,2,2015-16 School Year,3.8,3,5.8,4,6.8,4,2.3,1,2.8,3,3.3,2,4.3,3,02/01/2018 12:00:00 AM,3
01M184,01M184,P.S. 184m Shuang Wen,327 CHERRY STREET,"New York, NY 10002",District School,35,12/31/1899 08:20:00 AM,Full day,Yes,No,Breakfast / Lunch,Indoor/Outdoor (onsite) playspace,,73,1,0.83,0.9,0.94,16,67,2015-16 School Year,6.8,4,6.6,4,2,2,2017-18 School Year,3.4,3,5.3,4,5,4,3.1,2,1.8,2,3,2,3.8,3,10/01/2016 12:00:00 AM,3
